,Gene1,Gene2,Count
41,DNMT3A,NPM1,17
26,NPM1,FLT3,13
8,DNMT3A,FLT3,13
20,IDH2,SRSF2,12
40,DNMT3A,NRAS,12
98,NPM1,NRAS,11
2,FLT3,NPM1,9
44,IDH2,NPM1,8
42,DNMT3A,IDH2,7
96,NPM1,PTPN11,7
35,TET2,NPM1,7
128,IDH2,NRAS,6
119,ASXL1,SRSF2,6
25,NPM1,KRAS,6
0,WT1,NPM1,5
43,IDH2,FLT3,5
54,U2AF1,NRAS,5
24,DNMT3A,SRSF2,5
100,NRAS,NPM1,5
1,FLT3,WT1,5
88,IDH1,NPM1,5
111,ASXL1,RUNX1,5
5,SF3B1,FLT3,5
11,DNMT3A,RUNX1,5
22,SRSF2,RUNX1,4
62,WT1,FLT3,4
85,TET2,SRSF2,4
87,SF3B1,NPM1,4
99,IDH1,DNMT3A,4
36,TET2,DNMT3A,4
110,RUNX1,FLT3,4
102,IDH2,ASXL1,4
29,PTPN11,NPM1,4
134,SRSF2,NRAS,4
21,IDH2,RUNX1,4
116,IDH1,FLT3,3
4,FLT3,RUNX1,3
103,WT1,NRAS,3
23,IDH2,DNMT3A,3
7,SF3B1,RUNX1,3
91,DNMT3A,KRAS,3
145,ASXL1,NRAS,3
172,TET2,TP53,3
83,SRSF2,NPM1,3
70,RUNX1,ASXL1,3
69,RUNX1,WT1,3
56,RUNX1,DNMT3A,3
55,DNMT3A,U2AF1,3
122,NPM1,IDH2,3
34,TET2,NRAS,3
45,TP53,KRAS,3
15,SRSF2,PTPN11,3
14,SRSF2,FLT3,3
161,NRAS,TP53,2
112,ASXL1,FLT3,2
199,RUNX1,SRSF2,2
10,DNMT3A,SF3B1,2
89,SRSF2,ASXL1,2
90,SF3B1,DNMT3A,2
39,DNMT3A,PTPN11,2
94,TET2,RUNX1,2
196,TET2,ASXL1,2
37,TET2,IDH2,2
17,SF3B1,PTPN11,2
106,U2AF1,FLT3,2
107,EZH2,RUNX1,2
108,EZH2,ASXL1,2
33,TET2,PTPN11,2
114,TP53,NPM1,2
165,RUNX1,KRAS,2
31,TET2,FLT3,2
153,RUNX1,IDH1,2
118,ASXL1,IDH2,2
30,PTPN11,IDH2,2
120,RUNX1,IDH2,2
160,ASXL1,PTPN11,2
28,PTPN11,FLT3,2
123,NPM1,WT1,2
125,NRAS,FLT3,2
127,NPM1,IDH1,2
141,IDH2,KRAS,2
142,NRAS,EZH2,2
