,Gene1,Gene2,Count
147,TP53,UBR5,4
183,SOX2amp,UBR5,3
84,TP53,NCOR1,3
191,PIK3CAamp,UBR5,3
72,TP53,PTPRC,2
15,TERTamp,NF1,2
51,TP53,TERTamp,2
30,TP53,NOTCH1,2
120,TP53,PLXNB2,2
182,TP53,MLH1,2
122,PRF1,NF1,2
123,CDKN2A,NF1,2
163,TP53,CYLD,2
209,TP53,NFE2L2,2
11,TP53,NF1,2
208,NOTCH1,NFE2L2,2
107,KRAS,KMT2D,2
195,NFE2L2,UBR5,2
200,TP53,COL5A2,2
177,CDKN2A,CYLD,2
74,CDKN2A,PTPRC,2
184,SOX2amp,NOTCH1,1
181,TP53,FAT1,1
179,PRF1,FANCM,1
178,CDKN2A,FANCM,1
180,PRF1,CYLD,1
190,PIK3CAamp,NOTCH1,1
185,SOX2amp,MLH1,1
186,SOX2amp,NCOA6,1
187,SOX2amp,PTPRC,1
188,PIK3CAamp,MLH1,1
189,PIK3CAamp,NCOA6,1
175,SOX2amp,CYLD,1
192,PIK3CAamp,PTPRC,1
193,TP53,NCOA6,1
194,NFE2L2,PTPRC,1
196,NFE2L2,NCOA6,1
197,NFE2L2,MLH1,1
198,NFE2L2,NOTCH1,1
199,NOTCH1,COL5A2,1
176,SOX2amp,NF1,1
0,EGFRamp,PASK,1
174,SOX2amp,FANCM,1
156,PIK3CAamp,FAS,1
142,KRAS,EP300,1
143,NF1,UBR5,1
144,NOTCH2,UBR5,1
145,KMT2D,UBR5,1
146,KEAP1,UBR5,1
148,MGA,UBR5,1
149,SGK223,UBR5,1
150,KRAS,UBR5,1
151,FANCM,FAT1,1
152,UBR5,FAT1,1
153,CREBBP,TP53,1
154,RASA1,TP53,1
155,PIK3CAamp,PLXNB2,1
157,SOX2amp,PLXNB2,1
173,PIK3CA,NF1,1
158,SOX2amp,FAS,1
159,CCND1amp,PLXNB2,1
160,CCND1amp,FAS,1
161,TP53,FAS,1
162,TP53,FANCM,1
164,FBXW7,CYLD,1
165,FBXW7,NF1,1
166,FBXW7,FANCM,1
167,TERTamp,CYLD,1
168,TERTamp,FANCM,1
170,CYLD,FANCM,1
171,PIK3CA,FANCM,1
172,PIK3CA,CYLD,1
169,NF1,FANCM,1
203,WRN,COL5A2,1
201,PDGFRAamp,COL5A2,1
236,NOTCH2,PLXNB2,1
238,FAT1,PLXNB2,1
239,MYCamp,PLXNB2,1
240,FGFR1amp,PLXNB2,1
241,NFE2L2,PLXNB2,1
242,DICER1,PLXNB2,1
